[2025-09-05 17:38:02,593: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-09-05 17:39:46,103: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-09-05 17:39:46,107: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 17:39:46,110: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 17:39:46,124: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-05 17:39:46,130: INFO: common: created directory at: artifacts]
[2025-09-05 17:39:46,131: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-05 17:39:47,034: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-09-06 13:13:30,930: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:13:30,994: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:13:31,058: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:13:31,083: INFO: common: created directory at: artifacts]
[2025-09-06 13:13:31,086: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:14:54,455: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:14:54,486: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:14:54,510: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:14:54,538: INFO: common: created directory at: artifacts]
[2025-09-06 13:14:54,545: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:16:25,596: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:16:25,618: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:16:25,631: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:16:25,653: INFO: common: created directory at: artifacts]
[2025-09-06 13:16:25,654: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:16:52,490: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:16:52,493: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:16:52,504: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:16:52,508: INFO: common: created directory at: artifacts]
[2025-09-06 13:16:52,510: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:17:09,048: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:17:09,051: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:17:09,065: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:17:09,067: INFO: common: created directory at: artifacts]
[2025-09-06 13:17:09,070: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:17:50,929: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:17:50,952: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:17:50,965: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:17:50,986: INFO: common: created directory at: artifacts]
[2025-09-06 13:17:50,988: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:18:07,225: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:18:07,229: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:18:07,238: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:18:07,246: INFO: common: created directory at: artifacts]
[2025-09-06 13:18:07,251: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:19:57,892: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:19:57,896: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:19:57,910: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:19:57,913: INFO: common: created directory at: artifacts]
[2025-09-06 13:19:57,915: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:32:42,797: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-09-06 13:32:42,812: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:32:42,849: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:32:42,876: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:32:42,898: INFO: common: created directory at: artifacts]
[2025-09-06 13:32:42,900: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-06 13:32:43,666: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-09-06 13:32:43,666: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2025-09-06 13:32:43,670: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 13:32:43,673: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 13:32:43,684: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 13:32:43,688: INFO: common: created directory at: artifacts]
[2025-09-06 13:32:43,689: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 13:32:47,359: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<

x==========x]
[2025-09-06 15:08:14,364: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 15:08:14,429: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 15:08:14,462: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 15:08:14,493: INFO: common: created directory at: artifacts]
[2025-09-06 15:08:14,500: INFO: common: created directory at: artifacts/data_transformation]
[2025-09-06 15:08:34,737: INFO: 4111175371: Splitted data into training, validation, and test sets]
[2025-09-06 15:08:34,800: INFO: 4111175371: (464809, 55)]
[2025-09-06 15:08:34,802: INFO: 4111175371: (58101, 55)]
[2025-09-06 15:08:34,804: INFO: 4111175371: (58102, 55)]
[2025-09-06 15:18:22,413: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-09-06 15:18:22,437: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 15:18:22,482: INFO: common: yaml file: params.yaml loaded successfully]
